Purpose,Cameras,pixel,Latitude,Longitude
Child Protection,4,200,37.493149,127.085906
Life Security,1,41,37.490001,127.085885
Child Protection,3,200,37.491947,127.082904
Life Security,3,200,37.491965,127.085998
Life Security,4,200,37.490792,127.081281
Life Security,5,200,37.492472,127.085493
Life Security,4,200,37.489579,127.082346
Life Security,4,200,37.494514,127.083412
Life Security,3,200,37.495624,127.085769
Life Security,5,400,37.491096,127.084579
Child Protection,4,41,37.490528,127.061509
Life Security,4,41,37.491771,127.064288
Life Security,3,200,37.494831,127.061906
Life Security,4,400,37.494153,127.060356
Life Security,3,200,37.493009,127.057893
Life Security,4,400,37.488597,127.105811
Life Security,3,400,37.486889,127.102682
Life Security,4,200,37.517013,127.020145
Life Security,1,200,37.519166,127.019468
Life Security,4,200,37.521063,127.01943
Life Security,5,200,37.518106,127.021442
Life Security,1,41,37.520574,127.02126
Life Security,5,400,37.520446,127.022139
Life Security,1,41,37.521689,127.020251
Life Security,1,41,37.521518,127.021313
Child Protection,1,200,37.521659,127.021946
Life Security,4,400,37.518659,127.023963
Life Security,5,200,37.520106,127.023674
Child Protection,5,400,37.523156,127.025358
Child Protection,1,41,37.523858,127.02472
Child Protection,4,400,37.523181,127.023305
Life Security,3,200,37.501915,127.051354
Life Security,1,41,37.503106,127.052647
Life Security,1,41,37.502144,127.053419
Life Security,4,200,37.502728,127.055377
Life Security,1,41,37.502264,127.053945
Life Security,1,41,37.502249,127.058376
Life Security,1,41,37.501542,127.058269
Life Security,4,200,37.500674,127.057668
Child Protection,4,400,37.501506,127.056273
Life Security,4,200,37.50114,127.055152
Life Security,1,41,37.500323,127.054487
Life Security,1,41,37.500417,127.05291
Child Protection,1,41,37.499821,127.055125
Life Security,4,200,37.49997,127.055672
Life Security,5,200,37.499539,127.058198
Life Security,5,400,37.499953,127.059776
Life Security,1,41,37.499259,127.057582
Life Security,1,200,37.499218,127.058226
Child Protection,4,200,37.498642,127.055667
Life Security,4,200,37.497995,127.056059
Life Security,1,200,37.503421,127.055399
Life Security,1,200,37.501149,127.058811
Child Protection,3,200,37.494256,127.053731
Child Protection,3,200,37.484219,127.043839
Life Security,3,200,37.482815,127.045137
Life Security,5,200,37.483947,127.042766
Life Security,1,200,37.496728,127.031197
Life Security,3,200,37.500773,127.02892
Life Security,3,200,37.503985,127.02815
Life Security,3,200,37.50713,127.036377
Life Security,3,200,37.495254,127.034673
Child Protection,3,200,37.505911,127.036724
Life Security,4,200,37.497091,127.030939
Life Security,5,200,37.503467,127.038038
Life Security,3,200,37.494001,127.035684
Life Security,1,200,37.498657,127.027413
Life Security,1,200,37.498657,127.027413
Life Security,4,200,37.493575,127.037513
Life Security,4,200,37.50654,127.043766
Life Security,4,200,37.507203,127.044003
Life Security,4,200,37.495158,127.033732
Life Security,3,200,37.493962,127.034915
Life Security,5,200,37.493211,127.039474
Traffic Control,1,200,37.485278,127.034631
Traffic Control,1,200,37.48259,127.07988
Traffic Control,1,200,37.525457,127.044417
Traffic Control,1,200,37.525669,127.043343
Traffic Control,1,200,37.50633,127.052519
Traffic Control,1,200,37.491684,127.030863
Child Protection,1,200,37.499448,127.047839
Traffic Control,1,200,37.499148,127.029728
Traffic Control,1,200,37.501015,127.040258
Traffic Control,4,200,37.484283,127.094624
Traffic Control,1,200,37.493597,127.059075
Traffic Control,1,200,37.519586,127.050811
Child Protection,1,200,37.474146,127.10928
Child Protection,1,200,37.471703,127.090069
Traffic Control,1,200,37.523132,127.044694
Disaster Detection,1,200,37.527532,127.021502
Disaster Detection,1,200,37.493484,127.072248
Disaster Detection,1,200,37.528112,127.051618
Life Security,2,400,37.48716,127.052032
Life Security,1,200,37.481645,127.049328
Traffic Control,1,200,37.502181,127.04482
Child Protection,1,200,37.492294,127.083681
Child Protection,1,400,37.491491,127.087817
Child Protection,1,400,37.49349,127.087064
Traffic Control,1,200,37.489109,127.081801
Child Protection,1,400,37.490884,127.080688
Child Protection,1,200,37.492454,127.076439
Child Protection,1,200,37.494872,127.078394
Traffic Control,1,200,37.494706,127.082449
Traffic Control,1,200,37.497987,127.074348
Traffic Control,1,200,37.498772,127.077023
Child Protection,1,200,37.485539,127.083151
Traffic Control,1,41,37.527436,127.041594
Traffic Control,1,41,37.527232,127.042366
Child Protection,1,41,37.52685,127.043821
Traffic Control,1,200,37.518773,127.049124
Traffic Control,1,200,37.518917,127.049874
Traffic Control,1,41,37.519732,127.049954
Traffic Control,1,41,37.524661,127.039737
Traffic Control,1,41,37.52461,127.048703
Life Security,4,200,37.479661,127.049623
Life Security,4,400,37.493303,127.085211
Life Security,4,400,37.493007,127.082188
Life Security,3,200,37.493315,127.082013
Child Protection,5,200,37.491321,127.082393
Life Security,4,200,37.489121,127.081995
Life Security,4,200,37.489573,127.083282
Life Security,5,200,37.491545,127.085314
Life Security,4,200,37.492075,127.084053
Life Security,4,200,37.49575,127.078308
Life Security,3,200,37.493849,127.080064
Life Security,3,200,37.494631,127.082462
Disaster Detection,1,200,37.4833,127.107365
Disaster Detection,1,200,37.483455,127.107274
Disaster Detection,1,200,37.48336,127.107402
Disaster Detection,1,200,37.4834,127.107321
Disaster Detection,1,200,37.483432,127.107418
Disaster Detection,1,200,37.483472,127.107408
Life Security,4,200,37.509026,127.023919
Child Protection,3,200,37.511509,127.028305
Life Security,4,200,37.507199,127.031083
Life Security,4,200,37.506125,127.024577
Child Protection,1,200,37.522158,127.023471
Life Security,1,41,37.521611,127.024836
Life Security,3,200,37.520654,127.025759
Life Security,1,200,37.520337,127.026008
Life Security,3,200,37.521033,127.026424
Life Security,4,200,37.519418,127.025308
Life Security,1,41,37.521767,127.02662
Life Security,1,200,37.522725,127.025792
Life Security,4,200,37.52513,127.025842
Life Security,4,200,37.522987,127.027683
Life Security,1,200,37.519614,127.021551
Life Security,1,200,37.521436,127.023544
Life Security,1,200,37.522093,127.024598
Life Security,1,200,37.519902,127.026299
Child Protection,1,41,37.528559,127.046142
Life Security,5,200,37.528194,127.047906
Life Security,1,41,37.528151,127.050145
Life Security,1,41,37.527177,127.052518
Life Security,1,41,37.526528,127.050361
Child Protection,1,41,37.527022,127.048186
Life Security,4,200,37.52628,127.047128
Child Protection,1,200,37.499455,127.053897
Life Security,1,200,37.497855,127.053183
Life Security,1,200,37.498544,127.05718
Life Security,1,200,37.502408,127.050603
Life Security,1,200,37.503832,127.055104
Life Security,1,200,37.499702,127.058762
Life Security,4,200,37.50354,127.051536
Life Security,3,200,37.52339,127.037916
Life Security,3,200,37.522587,127.029018
Child Protection,4,200,37.528326,127.044204
Life Security,3,200,37.531667,127.034681
Life Security,4,200,37.524656,127.036066
Life Security,5,400,37.527766,127.030781
Life Security,4,400,37.528387,127.031251
Life Security,5,200,37.52831,127.028448
Life Security,4,200,37.52634,127.037529
Life Security,5,200,37.526752,127.038957
Life Security,4,200,37.523954,127.03116
Life Security,4,200,37.530716,127.031453
Life Security,4,200,37.504902,127.033147
Life Security,3,200,37.501305,127.027613
Child Protection,5,200,37.491811,127.031696
Child Protection,4,200,37.492279,127.03325
Life Security,5,200,37.493114,127.038799
Life Security,4,200,37.494213,127.03797
Life Security,4,200,37.500895,127.0312
Life Security,4,200,37.501578,127.034317
Life Security,4,200,37.506821,127.035309
Life Security,4,200,37.504123,127.040201
Life Security,5,200,37.508119,127.041789
Life Security,5,200,37.496565,127.03562
Life Security,4,200,37.491875,127.037358
Child Protection,3,200,37.493006,127.032084
Traffic Control,1,200,37.516913,127.021021
Traffic Control,1,400,37.517654,127.022733
Traffic Control,1,41,37.518577,127.024854
Traffic Control,1,200,37.524465,127.028234
Traffic Control,1,200,37.517575,127.019379
Traffic Control,1,200,37.526081,127.026569
Child Protection,1,200,37.522635,127.023417
Child Protection,1,200,37.52319,127.025241
Traffic Control,1,200,37.524184,127.022199
Child Protection,1,200,37.475093,127.052428
Child Protection,1,200,37.474983,127.049388
Life Security,1,200,37.477731,127.045273
Life Security,1,200,37.478229,127.050276
Life Security,1,200,37.47853,127.048123
Life Security,4,200,37.475783,127.049025
Life Security,5,200,37.479798,127.04688
Life Security,5,200,37.47635,127.049668
Life Security,4,200,37.482205,127.048335
Life Security,3,200,37.476763,127.052384
Child Protection,3,200,37.479667,127.050252
Life Security,4,200,37.474135,127.053509
Life Security,3,200,37.474187,127.052383
Child Protection,4,200,37.478933,127.055546
Child Protection,4,200,37.478958,127.055619
Child Protection,4,200,37.478556,127.051415
Life Security,5,200,37.473756,127.051266
Life Security,5,200,37.476311,127.047147
Life Security,3,200,37.482414,127.049657
Life Security,3,200,37.473159,127.053258
Life Security,5,200,37.473232,127.050323
Life Security,5,200,37.509111,127.029312
Life Security,4,200,37.511786,127.030876
Life Security,4,200,37.510481,127.029141
Life Security,3,200,37.509424,127.027175
Life Security,4,200,37.511385,127.029937
Life Security,4,200,37.510567,127.029656
Life Security,4,200,37.509604,127.031442
Life Security,4,200,37.511484,127.024821
Life Security,3,200,37.511338,127.024289
Life Security,3,200,37.509128,127.031574
Life Security,4,200,37.514331,127.029452
Life Security,5,200,37.508715,127.029848
Life Security,4,200,37.509062,127.030756
Life Security,5,400,37.515245,127.021454
Life Security,5,400,37.512889,127.024292
Life Security,5,400,37.505277,127.024997
Life Security,4,400,37.507616,127.030374
